nation,league,season,date,round,home,away,HGHT,AGHT,HTR,HG2H,AG2H,2HR,HGFT,AGFT,FTR,HGT,AGT,Goals_HT,Goals_FT,Goals_2H
BRAZIL,SERIE B,2023,2023-05-23,8,Novorizontino,Avai,0,0,D,2,0,H,2,0,H,"58, 90+1",,0,2,2
BRAZIL,SERIE B,2023,2023-05-23,8,ABC,Tombense,0,0,D,1,0,H,1,0,H,72,,0,1,1
BRAZIL,SERIE B,2023,2023-05-24,8,Londrina,Ceara,0,3,A,1,0,H,1,3,A,90+4,"2, 17, 36",3,4,1
BRAZIL,SERIE B,2023,2023-05-24,8,Criciuma,Sport Recife,1,0,H,0,0,D,1,0,H,4,,1,1,0
BRAZIL,SERIE B,2023,2023-05-24,8,Sampaio Correa,Ponte Preta,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-05-24,8,Guarani,Chapecoense-SC,3,1,H,0,2,A,3,3,D,"11, 42, 45+3","7, 62, 90+5",4,6,2
BRAZIL,SERIE B,2023,2023-05-24,8,Vila Nova FC,Ituano,1,0,H,0,0,D,1,0,H,12,,1,1,0
BRAZIL,SERIE B,2023,2023-05-24,8,Vitoria,CRB,0,0,D,1,0,H,1,0,H,90+6,,0,1,1
BRAZIL,SERIE B,2023,2023-05-24,8,Juventude,Atletico GO,2,0,H,1,0,H,3,0,H,"9, 35, 55",,2,3,1
BRAZIL,SERIE B,2023,2023-05-27,9,Avai,Vitoria,0,1,A,1,0,H,1,1,D,84,19,1,2,1
BRAZIL,SERIE B,2023,2023-05-27,9,Ituano,Londrina,2,1,H,1,0,H,3,1,H,"16, 19, 58",45+1,3,4,1
BRAZIL,SERIE B,2023,2023-05-27,9,CRB,Juventude,0,2,A,1,0,H,1,2,A,63,"4, 45+4",2,3,1
BRAZIL,SERIE B,2023,2023-05-27,9,Atletico GO,Botafogo SP,0,0,D,1,1,D,1,1,D,90+5,47,0,2,2
BRAZIL,SERIE B,2023,2023-05-28,9,Tombense,Guarani,0,1,A,1,0,H,1,1,D,57,22,1,2,1
BRAZIL,SERIE B,2023,2023-05-28,9,Sport Recife,ABC,1,1,D,3,0,H,4,1,H,"34, 55, 62, 80",45+3,2,5,3
BRAZIL,SERIE B,2023,2023-05-28,9,Mirassol,Criciuma,0,0,D,1,0,H,1,0,H,47,,0,1,1
BRAZIL,SERIE B,2023,2023-05-28,9,Ceara,Novorizontino,0,1,A,0,2,A,0,3,A,,"39, 54, 74",1,3,2
BRAZIL,SERIE B,2023,2023-05-28,9,Ponte Preta,Vila Nova FC,1,0,H,0,0,D,1,0,H,37,,1,1,0
BRAZIL,SERIE B,2023,2023-05-29,9,Chapecoense-SC,Sampaio Correa,0,1,A,0,0,D,0,1,A,,34,1,1,0
BRAZIL,SERIE B,2023,2023-06-02,10,Ceara,Chapecoense-SC,1,0,H,1,0,H,2,0,H,"30, 90+13",,1,2,1
BRAZIL,SERIE B,2023,2023-06-02,10,Botafogo SP,Tombense,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-06-02,10,Vitoria,Ituano,2,0,H,1,0,H,3,0,H,"31, 45+3, 77",,2,3,1
BRAZIL,SERIE B,2023,2023-06-02,10,Criciuma,Atletico GO,0,0,D,3,0,H,3,0,H,"66, 86, 90+4",,0,3,3
BRAZIL,SERIE B,2023,2023-06-03,10,Vila Nova FC,Sampaio Correa,1,0,H,2,0,H,3,0,H,"42, 48, 77",,1,3,2
BRAZIL,SERIE B,2023,2023-06-03,10,ABC,Novorizontino,0,0,D,0,1,A,0,1,A,,66,0,1,1
BRAZIL,SERIE B,2023,2023-06-03,10,Juventude,Avai,2,1,H,1,1,D,3,2,H,"18, 40, 61","28, 47",3,5,2
BRAZIL,SERIE B,2023,2023-06-03,10,Mirassol,Ponte Preta,0,0,D,1,0,H,1,0,H,67,,0,1,1
BRAZIL,SERIE B,2023,2023-06-04,10,Guarani,CRB,0,1,A,0,0,D,0,1,A,,14,1,1,0
BRAZIL,SERIE B,2023,2023-06-04,10,Londrina,Sport Recife,1,0,H,0,2,A,1,2,A,4,"67, 76",1,3,2
BRAZIL,SERIE B,2023,2023-06-06,11,Atletico GO,Ceara,0,1,A,0,2,A,0,3,A,,"15, 47, 85",1,3,2
BRAZIL,SERIE B,2023,2023-06-06,11,Tombense,Vitoria,0,1,A,1,1,D,1,2,A,86,"23, 52",1,3,2
BRAZIL,SERIE B,2023,2023-06-06,11,Ponte Preta,ABC,0,0,D,0,0,D,0,0,D,,,0,0,0
BRAZIL,SERIE B,2023,2023-06-06,11,Chapecoense-SC,Vila Nova FC,0,0,D,0,1,A,0,1,A,,90+4,0,1,1
BRAZIL,SERIE B,2023,2023-06-06,11,Botafogo SP,Ituano,0,0,D,0,2,A,0,2,A,,"51, 69",0,2,2
